"","FIPS","County.Name","State.Name","State.Code","Region","Estimated.hesitant","Estimated.strongly.hesitant","SVI","SVI.Category","CVAC.level.of.concern.for.vaccination.rollout","CVAC.Level.Of.Concern","Percent.Hispanic","Percent.non.Hispanic.American.Indian.Alaska.Native","Percent.non.Hispanic.Asian","Percent.non.Hispanic.Black","Percent.non.Hispanic.Native.Hawaiian.Pacific.Islander","Percent.non.Hispanic.White","Median_Household_Income_2019","Region_Midwest","Region_Northeast","Region_South","Region_West","Diabetes_Percent","Obesity_Percent","unemployment_rate","party_DEMOCRAT","party_REPUBLICAN"
"1",1001,"Autauga County","Alabama","AL","South",0.22,0.1,0.44,"Moderate Concern",0.61,"High Concern",0.0283,0.0025,0.0103,0.19,1e-04,0.746,58233,0,0,1,0,13,34.1,4.9,0,1
"2",1003,"Baldwin County","Alabama","AL","South",0.2,0.1,0.22,"Low Concern",0.23,"Low Concern",0.0456,0.0065,0.0092,0.0917,0,0.8307,59871,0,0,1,0,10.4,27.4,5.6,0,1
"3",1005,"Barbour County","Alabama","AL","South",0.23,0.11,1,"Very High Concern",0.89,"Very High Concern",0.0436,0.0029,0.0048,0.4744,0,0.4581,35972,0,0,1,0,18.4,44.4,7,0,1
"4",1007,"Bibb County","Alabama","AL","South",0.24,0.12,0.6,"High Concern",0.76,"High Concern",0.0257,0.0013,0.0012,0.2214,0,0.7453,47918,0,0,1,0,14.8,40.3,6.6,0,1
"5",1009,"Blount County","Alabama","AL","South",0.23,0.11,0.42,"Moderate Concern",0.8,"High Concern",0.0926,7e-04,0.0037,0.0153,4e-04,0.8689,52902,0,0,1,0,14.1,34.6,4.1,0,1
"6",1011,"Bullock County","Alabama","AL","South",0.23,0.11,0.89,"Very High Concern",0.84,"Very High Concern",0.0256,0,0.0049,0.748,0,0.2138,31906,0,0,1,0,19.6,43,5.5,1,0
"7",1013,"Butler County","Alabama","AL","South",0.23,0.11,0.87,"Very High Concern",0.88,"Very High Concern",0.014,6e-04,0.0035,0.4503,0,0.516,39944,0,0,1,0,17.7,36.3,8.8,0,1
"8",1015,"Calhoun County","Alabama","AL","South",0.23,0.11,0.83,"Very High Concern",0.66,"High Concern",0.038,0.0019,0.0088,0.2066,1e-04,0.7207,47747,0,0,1,0,14.9,32.2,7.1,0,1
"9",1017,"Chambers County","Alabama","AL","South",0.23,0.12,0.74,"High Concern",0.81,"Very High Concern",0.0238,0.0033,0.0112,0.3956,0,0.5555,42015,0,0,1,0,16.4,39.7,6.8,0,1
"10",1019,"Cherokee County","Alabama","AL","South",0.23,0.11,0.45,"Moderate Concern",0.7,"High Concern",0.0159,0.0108,0.0025,0.046,0,0.9172,45982,0,0,1,0,13.3,33.6,4.6,0,1
