OBJECTID,NAME,ST_ABBREV,State,FIPS_Codes,Diabetes_Total,Diabetes_Percent,Obesity_Total,Obesity_Percent
1,Autauga County,AL,Alabama,1001,5144,13,13513,34.1
2,Baldwin County,AL,Alabama,1003,15367,10.4,40365,27.4
3,Barbour County,AL,Alabama,1005,3813,18.4,9186,44.4
4,Bibb County,AL,Alabama,1007,2557,14.8,6940,40.3
5,Blount County,AL,Alabama,1009,5990,14.1,14768,34.6
6,Bullock County,AL,Alabama,1011,1588,19.6,3482,43
7,Butler County,AL,Alabama,1013,2676,17.7,5481,36.3
8,Calhoun County,AL,Alabama,1015,13000,14.9,28209,32.2
9,Chambers County,AL,Alabama,1017,4259,16.4,10338,39.7
10,Cherokee County,AL,Alabama,1019,2685,13.3,6771,33.6
11,Chilton County,AL,Alabama,1021,4299,13.3,11580,35.9
12,Choctaw County,AL,Alabama,1023,1867,18.1,4207,40.8
13,Clarke County,AL,Alabama,1025,3057,16.3,7157,38.2
14,Clay County,AL,Alabama,1027,1503,14.6,3841,37.3
15,Cleburne County,AL,Alabama,1029,1421,12.6,3379,30
16,Coffee County,AL,Alabama,1031,5998,15.9,12725,33.7
17,Colbert County,AL,Alabama,1033,7736,18.7,15526,37.5
18,Conecuh County,AL,Alabama,1035,1700,17.4,3558,36.4
19,Coosa County,AL,Alabama,1037,1516,17.3,3474,39.7
20,Covington County,AL,Alabama,1039,4221,14.7,9794,34
21,Crenshaw County,AL,Alabama,1041,1716,16.5,4136,39.7
22,Cullman County,AL,Alabama,1043,8773,14.4,20319,33.4
23,Dale County,AL,Alabama,1045,5209,14.1,13467,36.5
24,Dallas County,AL,Alabama,1047,5741,19,12329,40.8
25,DeKalb County,AL,Alabama,1049,6911,13.4,15728,30.4
26,Elmore County,AL,Alabama,1051,8029,13.4,21240,35.4
27,Escambia County,AL,Alabama,1053,5095,17.8,10798,37.7
28,Etowah County,AL,Alabama,1055,13196,16.8,27501,35.1
29,Fayette County,AL,Alabama,1057,1941,15.1,4332,33.7
30,Franklin County,AL,Alabama,1059,3224,13.9,7669,33.2
31,Geneva County,AL,Alabama,1061,2815,13.9,6899,34.1
32,Greene County,AL,Alabama,1063,1362,21,2996,46.3
33,Hale County,AL,Alabama,1065,1810,16,4574,40.4
34,Henry County,AL,Alabama,1067,2471,18.7,4714,35.8
35,Houston County,AL,Alabama,1069,10485,13.7,25127,32.8
36,Jackson County,AL,Alabama,1071,6005,14.9,12867,32
37,Jefferson County,AL,Alabama,1073,63518,13,162871,33.2
38,Lamar County,AL,Alabama,1075,1612,14.9,3631,33.6
39,Lauderdale County,AL,Alabama,1077,10000,14.2,23238,32.9
40,Lawrence County,AL,Alabama,1079,3975,15.6,9042,35.5
41,Lee County,AL,Alabama,1081,10562,9.5,32202,29
