,FIPS.Code,County.Name,State.Name,State.Code,Region,Division,Estimated.hesitant,Estimated.strongly.hesitant,Social.Vulnerability.Index..SVI.,SVI.Category,CVAC.level.of.concern.for.vaccination.rollout,CVAC.Level.Of.Concern,Percent.adults.fully.vaccinated.against.COVID.19,Percent.Hispanic,Percent.non.Hispanic.American.Indian.Alaska.Native,Percent.non.Hispanic.Asian,Percent.non.Hispanic.Black,Percent.non.Hispanic.Native.Hawaiian.Pacific.Islander,Percent.non.Hispanic.White,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
1,1131,Wilcox County,Alabama,AL,South,East South Central,0.23,0.11,0.93,Very High Concern,0.94,Very High Concern,0.228,0.0053,9.00E-04,3.00E-04,0.6938,0,0.2684,2448,423,14.7,30998,59.9
2,1129,Washington County,Alabama,AL,South,East South Central,0.23,0.11,0.73,High Concern,0.82,Very High Concern,0.192,0.0146,0.0731,0.0025,0.2354,0,0.6495,6190,539,8,48864,94.4
3,1133,Winston County,Alabama,AL,South,East South Central,0.22,0.11,0.7,High Concern,0.8,High Concern,0.085,0.0315,0.0034,0.0016,0.0073,5.00E-04,0.937,9542,475,4.7,40827,78.9
4,1127,Walker County,Alabama,AL,South,East South Central,0.23,0.11,0.75,High Concern,0.68,High Concern,0.158,0.0249,0.0015,0.0049,0.0617,0,0.8895,23431,1446,5.8,45991,88.8
5,2013,Aleutians East Borough,Alaska,AK,West,Pacific,0.26,0.12,0.58,Moderate Concern,0.87,Very High Concern,0.195,0.0901,0.4588,0.1968,0.0322,0.01,0.1321,2423,100,4,66923,86.7
6,2016,Aleutians West Census Area,Alaska,AK,West,Pacific,0.26,0.12,0.49,Moderate Concern,0.77,High Concern,0.156,0.1406,0.1048,0.3963,0.0335,0.0265,0.2383,3563,169,4.5,84726,109.7
7,1125,Tuscaloosa County,Alabama,AL,South,East South Central,0.22,0.1,0.63,High Concern,0.58,Moderate Concern,0.149,0.0372,0.0016,0.0161,0.3189,4.00E-04,0.6155,95473,6749,6.6,52307,101
8,2050,Bethel Census Area,Alaska,AK,West,Pacific,0.26,0.12,0.97,Very High Concern,0.89,Very High Concern,0.503,0.026,0.825,0.0108,0.0074,0.0022,0.0973,6158,805,11.6,48262,62.5
9,13105,Elbert County,Georgia,GA,South,South Atlantic,0.22,0.1,0.83,Very High Concern,0.91,Very High Concern,0.064,0.057,0,0.0043,0.296,0,0.6351,6,6,0,9663,9159
10,13115,Floyd County,Georgia,GA,South,South Atlantic,0.25,0.11,0.89,Very High Concern,0.75,High Concern,0.018,0.1107,0.0015,0.0127,0.1387,0,0.7076,3,2,1,44476,42788
11,13109,Evans County,Georgia,GA,South,South Atlantic,0.27,0.12,0.98,Very High Concern,0.76,High Concern,0.068,0.1172,0.0014,0.0091,0.2964,0,0.5626,6,6,0,4668,4467
12,13111,Fannin County,Georgia,GA,South,South Atlantic,0.25,0.11,0.3,Low Concern,0.4,Moderate Concern,0.067,0.0236,0.0011,0.0037,0.0025,0.0011,0.9489,8,4,0,9027,8677
13,13107,Emanuel County,Georgia,GA,South,South Atlantic,0.26,0.12,0.98,Very High Concern,0.91,Very High Concern,0.108,0.045,0.0024,0.0015,0.3387,0,0.5927,7,9,0,9883,9327
14,13113,Fayette County,Georgia,GA,South,South Atlantic,0.17,0.07,0.06,Very Low Concern,0.18,Very Low Concern,0.112,0.0723,9.00E-04,0.044,0.2251,0.0013,0.622,1,1,1,49508,48201
15,13117,Forsyth County,Georgia,GA,South,South Atlantic,0.16,0.07,0.04,Very Low Concern,0.44,Moderate Concern,0.047,0.095,0.0017,0.1291,0.0332,2.00E-04,0.717,1,1,1,56976,55615
16,13127,Glynn County,Georgia,GA,South,South Atlantic,0.24,0.1,0.72,High Concern,0.65,High Concern,0.258,0.0662,0.0035,0.0127,0.2607,0.0012,0.6356,3,2,1,34626,33414
17,13137,Habersham County,Georgia,GA,South,South Atlantic,0.24,0.11,0.71,High Concern,0.72,High Concern,0.046,0.1479,9.00E-04,0.0194,0.0319,0.0018,0.7729,6,5,0,18275,17639
18,13321,Worth County,Georgia,GA,South,South Atlantic,0.25,0.11,0.74,High Concern,0.88,Very High Concern,0.036,0.022,0.0038,0.0079,0.2801,3.00E-04,0.673,3,2,1,10240,9795
19,13305,Wayne County,Georgia,GA,South,South Atlantic,0.27,0.12,0.92,Very High Concern,0.77,High Concern,0.139,0.0626,7.00E-04,0.0061,0.2024,0,0.7117,6,5,0,11295,10740
20,15001,Hawaii County,Hawaii,HI,West,Pacific,0.12,0.05,0.58,Moderate Concern,0.35,Low Concern,NA,0.1273,0.0018,0.2184,0.0058,0.1108,0.3031,5,8,0,73809,70108
21,13303,Washington County,Georgia,GA,South,South Atlantic,0.26,0.12,0.95,Very High Concern,0.84,Very High Concern,0.037,0.0248,5.00E-04,0.0067,0.5263,0,0.4253,7,9,0,8525,8124
22,13313,Whitfield County,Georgia,GA,South,South Atlantic,0.24,0.11,0.88,Very High Concern,0.84,Very High Concern,0.064,0.3511,0.0025,0.0144,0.0376,0,0.5843,3,2,1,43422,41904
23,13311,White County,Georgia,GA,South,South Atlantic,0.21,0.09,0.24,Low Concern,0.61,High Concern,0.013,0.0325,0.0043,0.0058,0.0146,0,0.923,6,6,0,10769,10393
24,13315,Wilcox County,Georgia,GA,South,South Atlantic,0.26,0.12,0.82,Very High Concern,0.95,Very High Concern,0.032,0.0466,0.0039,0,0.3548,0,0.5851,8,6,0,3236,3084
25,15003,Honolulu County,Hawaii,HI,West,Pacific,0.1,0.04,0.47,Moderate Concern,0.3,Low Concern,NA,0.0985,0.0013,0.4173,0.0225,0.0893,0.1837,2,2,1,430500,412780
26,13309,Wheeler County,Georgia,GA,South,South Atlantic,0.27,0.12,0.81,Very High Concern,0.98,Very High Concern,0.026,0.0014,0,0,0.4339,0,0.5618,9,9,0,2294,2152
